id_lectura,fecha_hora,edificio,ciudad,tipo_edificio,superficie_m2,temperatura_exterior_c,humedad_relativa_pct,radiacion_solar_wm2,ocupacion_personas,hvac_activo,modo_hvac,consumo_kwh,generacion_solar_kwh,periodo_tarifario,coste_eur
623,2025-09-10 14:00:00,Campus Norte,Bilbao,Educativo,8600,22.0,67.8,763.5,785,0,Apagado,82.36,59.39,Llano,3.89
1178,2025-03-14 08:00:00,Centro Comercial Delta,Valencia,Comercial,17400,12.7,71.5,111.3,190,0,Apagado,54.32,14.56,Llano,5.77
737,2025-01-01 00:00:00,Hospital Sur,Sevilla,Sanitario,21000,4.6,91.2,0.0,195,1,Calefaccion,168.08,0.0,Valle,16.67
1997,2025-06-06 00:00:00,Residencial Mirador,Barcelona,Residencial,9800,22.1,,0.0,289,0,Apagado,89.61,0.0,Valle,7.96
1605,2025-05-13 00:00:00,Planta Logistica R2,Zaragoza,Industrial,26000,15.3,69.9,0.0,45,1,Ventilacion,106.66,0.0,Valle,9.45
435,2025-03-06 14:00:00,Campus Norte,Bilbao,Educativo,8600,13.7,96.4,299.8,,1,Calefaccion,86.83,21.98,Llano,9.4
220,2025-08-05 20:00:00,Torre Atlantida, Madrid,Oficinas,12500,24.2,46.4,0.0,129,1,Refrigeracion,43.24,0.0,Punta,10.61
357,2025-12-23 00:00:00,Torre Atlantida,Madrid,Oficinas,12500,-0.7,76.0,0.0,39,no,Apagado,23.66,0.0,Valle,2.45
1689,2025-08-05 00:00:00,Planta Logistica R2,Zaragoza,Industrial,26000,23.8,46.1,0.0,45,1, VENTILACION,105.33,0.0,Valle,10.5
265,2025-09-22 00:00:00,Torre Atlantida,Madrid,Oficinas,12500,16.0,59.5,0.0,0,0,Apagado,23.87,0.0,Valle,2.58
352,2025-12-15 20:00:00,Torre Atlantida,Madrid,Oficinas,12500,8.5,78.1,0.0,54,Si,Calefaccion,40.27,0.0,Punta,10.28
1754,2025-10-08 08:00:00,Planta Logistica R2,Zaragoza,Industrial,26000,18.4,,89.6,,0,Apagado,233.51,23.55,Llano,36.34
2018,2025-06-26 08:00:00,Residencial Mirador,Barcelona,Residencial,9800,21.9,67.2,382.3,86,0,Apagado,18.33,0.0,Llano,2.73
2099,2025-09-14 14:00:00,Residencial Mirador,Barcelona,Residencial,9800,23.7,70.9,723.2,104,1,Ventilacion,24.94,0.0,Valle,2.69
1142,2025-02-06 08:00:00,Centro Comercial Delta,Valencia,Comercial,17400,10.6,73.6,21.5,20,0,Apagado,49.32,2.6,Llano,7.11
1419,2025-11-09 14:00:00,Centro Comercial Delta,Valencia,Comercial,17400,19.3,69.5,500.8,1525,0,Apagado,226.21,59.38,Valle,17.75
267,2025-09-22 14:00:00,Torre Atlantida,Madrid,Oficinas,12500,23.8,50.7,591.3,576,1,Ventilacion,111.05,86.8,Llano,4.11
563,2025-07-12 14:00:00,Campus Norte,Bilbao,Educativo,8600,25.7,67.0,716.9,70,FALSE,Apagado,10.36,55.5,Valle,-1.74
911,2025-06-22 14:00:00,Hospital Sur,Sevilla,Sanitario,21000,36.0,31.1,896.2,363,1,Refrigeracion,234.34,172.13,Valle,5.9
714,2025-12-11 08:00:00,Campus Norte,Bilbao,Educativo,8600,7.7,99.0,0.0,821,1,Calefaccion,114.97,0.0,Llano,19.28
1414,2025-11-05 08:00:00,Centro Comercial Delta,Valencia,Comercial,17400,13.1,72.5,1.1,121,0,Apagado,53.12,0.15,Llano,9.09
599,2025-08-17 14:00:00,Campus Norte,Bilbao,Educativo,8600,23.8,97.0,445.5,4,0,Apagado,7.78,33.76,Valle,-1.12
1731,2025-09-14 14:00:00,Planta Logistica R2,Zaragoza ,Industrial,26000,26.9,65.9,561.2,48,TRUE,Refrigeracion,87.24,144.53,Valle,-2.53
757,2025-01-21 00:00:00,Hospital Sur,Sevilla,Sanitario,21000,4.6,76.4,0.0,212,1,Calefaccion,180.25,0.0,Valle,17.0
1483,2025-01-09 14:00:00,Planta Logistica R2,Zaragoza,Industrial,26000,10.5,77.5,341.0,182,1,Calefaccion,155.38,92.12,Llano,10.08
1957,2025-04-27 00:00:00,Residencial Mirador,Barcelona,Residencial,9800,15.7,88.2,0.0,306,1,Ventilacion,100.83,0.0,Valle,9.14
1679,2025-07-24 14:00:00,Planta Logistica R2,Zaragoza,Industrial,26000,31.9,62.3,675.3,162,1,Refrigeracion,189.46,181.75,Llano,1.22
821,2025-03-26 00:00:00,Hospital Sur, Sevilla,Sanitario,21000,13.1,71.5,0.0,196,1,Calefaccion,173.49,0.0,Valle,15.37
1046,2025-11-05 08:00:00,Hospital Sur,Sevilla,Sanitario,21000,-999.0,80.1,0.0,363,1,Calefaccion,264.79,0.0,Llano,45.99
1737,2025-09-22 00:00:00,Planta Logistica R2,Zaragoza,Industrial,26000,14.6,64.2,0.0,55,1,Ventilacion,125.04,0.0,Valle,13.7
1641,2025-06-18 00:00:00,Planta Logistica R2,Zaragoza,Industrial,26000,20.6,54.4,,42,0,Apagado,102.53,0.0,Valle,9.38
82,2025-03-22 08:00:00,Torre Atlantida,Madrid,Oficinas,12500,9.4,81.1,113.1,0,0,Apagado,24.17,16.54,Valle,0.65
1603,2025-05-09 14:00:00,Planta Logistica R2,Zaragoza,Industrial,26000,26.8,57.5,604.3,163,1,Refrigeracion,145.93,160.27,Llano,-0.82
2182,2025-12-07 08:00:00,Residencial Mirador,Barcelona,Residencial,9800,11.0,88.3,0.0,114,1,Calefaccion,49.13,0.0,Valle,5.17
2037,2025-07-16 00:00:00,Residencial Mirador,Barcelona,Residencial,9800,18.7,75.7,0.0,307,0,Apagado,93.9,0.0,Valle,9.07
708,2025-12-03 20:00:00,Campus Norte,Bilbao,Educativo,8600,7.9,91.0,0.0,46,1,Calefaccion,25.86,0.0,Punta,6.66
962,2025-08-13 08:00:00,Hospital Sur,Sevilla,Sanitario,21000,26.1,45.1,329.2,416,1,Refrigeracion,204.6,66.93,Llano,23.27
709,2025-12-07 00:00:00,Campus Norte,Bilbao,Educativo,8600,5.2,96.5,0.0,46,0,Apagado,15.27,0.0,Valle,1.61
764,2025-01-25 20:00:00,Hospital Sur,Sevilla,Sanitario,21000,12.1,73.6,0.0,422,Si,Calefaccion,291.6,0.0,Valle,27.73
283,2025-10-08 14:00:00,Torre Atlantida,Madrid,Oficinas,12500,23.9,55.6,562.1,545,1,Ventilacion,102.5,88.09,Llano,
1657,2025-07-04 00:00:00,Planta Logistica R2,Zaragoza,Industrial,26000,20.0,61.5,0.0,63,0,Apagado,110.85,0.0,Valle,10.49
982,2025-09-02 08:00:00,Hospital Sur,Sevilla,Sanitario,21000,21.9,52.4,281.7,421,0,Apagado,191.21,56.74,Llano,23.01
886,2025-05-29 08:00:00,Hospital Sur,Sevilla,Sanitario,21000,24.8,62.5,289.0,414,1,Refrigeracion,205.77,62.25,Llano,20.65
125,2025-05-05 00:00:00,Torre Atlantida,Madrid,Oficinas,12500,9.8,60.1,0.0,48,0,Apagado,28.63,0.0,Valle,2.42
1909,2025-03-10 00:00:00,Residencial Mirador,Barcelona,Residencial,9800,8.0,88.0,0.0,325,1,Calefaccion,105.76,0.0,Valle,9.38
2187,2025-12-11 14:00:00,Residencial Mirador,Barcelona,Residencial,9800,13.3,72.1,415.9,67,1,Calefaccion,20.41,0.0,Llano,3.34
768,2025-01-29 20:00:00,Hospital Sur,Sevilla,Sanitario,21000,13.3,65.8,0.0,397,1,Calefaccion,270.03,0.0,Punta,63.46
1611,2025-05-17 14:00:00,Planta Logistica R2,Zaragoza,Industrial,26000,27.2,41.0,824.0,72,1,Refrigeracion,96.48,218.47,Valle,-4.38
1212,2025-04-15 20:00:00,Centro Comercial Delta,Valencia,Comercial,17400,19.0,70.9,0.0,1319,0,Apagado,273.75,0.0,Punta,58.53
28,2025-01-25 20:00:00,Torre Atlantida,Madrid,Oficinas,12500,4.5,77.7,0.0,3,FALSE,Apagado,22.17,0.0,Valle,2.16
469,2025-04-11 00:00:00,Campus Norte,Bilbao,Educativo,8600,9.9,86.2,0.0,,TRUE,Calefaccion,23.28,0.0,Valle,2.03
1005,2025-09-26 00:00:00,Hospital Sur,Sevilla,Sanitario,21000,14.9,65.6,0.0,210,1,Ventilacion,178.55,0.0,Valle,19.05
1525,2025-02-22 00:00:00,Planta Logistica R2,Zaragoza,Industrial,26000,3.0,79.6,0.0,12,1,Calefaccion,97.14,0.0,Valle,8.72
2116,2025-09-30 20:00:00,Residencial Mirador,Barcelona,Residencial,9800,21.3,72.7,0.0,314,0,Apagado,97.61,0.0,Punta,26.48
1780,2025-11-01 20:00:00,Planta Logistica R2,Zaragoza,Industrial,26000,13.4,73.8,0.0,0,No,Apagado,49.39,0.0,Valle,5.38
1299,2025-07-12 14:00:00,Centro Comercial Delta, Valencia,Comercial,17400,28.6,63.6,852.1,1536,1,Refrigeracion,250.52,101.17,Valle,13.81
1556,2025-03-22 20:00:00,Planta Logistica R2,Zaragoza,Industrial,26000,16.7,68.4,0.0,65,0,Apagado,126.87,0.0,Valle,10.89
1296,2025-07-08 20:00:00,Centro Comercial Delta,Valencia,Comercial,17400,27.8,64.4,68.1,1466,1,Refrigeracion,300.28,8.98,Punta,69.97
1882,2025-02-10 08:00:00,Residencial Mirador, Barcelona,Residencial,9800,10.5,88.8,33.2,91,si,Calefaccion,36.23,0.0,Llano,5.41
2040,2025-07-16 20:00:00,Residencial Mirador,Barcelona ,Residencial,9800,26.3,66.2,36.5,304,1,Refrigeracion,95.99,0.0,Punta,22.83
731,2025-12-27 14:00:00,Campus Norte,Bilbao,Educativo,8600,13.9,93.5,253.6,0,0,Apagado,7.61,18.23,Valle,-0.44
533,2025-06-14 00:00:00,Campus Norte,Bilbao,Educativo,8600,19.8,72.7,0.0,36,0,Apagado,13.84,0.0,Valle,1.26
1007,2025-09-26 14:00:00,Hospital Sur,Sevilla,Sanitario,21000,29.8,,650.0,428,1,Refrigeracion,206.04,127.64,Llano,14.06
87,2025-03-26 14:00:00,Torre Atlantida,Madrid,Oficinas,12500,16.4,55.6,604.4,,0,Apagado,99.93,87.89,Llano,1.69
1484,2025-01-09 20:00:00,Planta Logistica R2,Zaragoza,Industrial,26000,7.2,75.6,0.0,165,1,Calefaccion,272.64,0.0,Punta,65.71
1201,2025-04-07 00:00:00,Centro Comercial Delta,Valencia,Comercial,17400,15.3,71.9,0.0,0,0,Apagado,47.66,0.0,Valle,4.12
308,2025-11-01 20:00:00,Torre Atlantida, Madrid ,Oficinas,12500,12.9,61.8,0.0,24,0,Apagado,26.93,0.0,Valle,2.89
1008,2025-09-26 20:00:00,Hospital Sur,Sevilla,Sanitario,21000,22.4,79.3,0.0,400,0,Apagado,264.4,0.0,Punta,70.94
531,2025-06-10 14:00:00,Campus Norte,Bilbao,Educativo,8600,25.0,71.3,644.8,818,1,Refrigeracion,85.35,46.52,Llano,5.8
1268,2025-06-10 20:00:00,Centro Comercial Delta,Valencia,Comercial,17400,23.7,61.5,0.0,1418,1,Ventilacion,261.39,0.0,Punta,58.53
172,2025-06-18 20:00:00,Torre Atlantida,Madrid,Oficinas,12500,25.2,48.4,76.8,68,1,Refrigeracion,43.48,11.69,Punta,7.06
603,2025-08-21 14:00:00,Campus Norte,Bilbao,Educativo,8600,22.2,68.5,684.3,0,0,Apagado,8.05,54.23,Llano,-2.99
994,2025-09-14 08:00:00,Hospital Sur,Sevilla,Sanitario,21000,21.8,40.3,239.3,423,0,Apagado,204.6,49.16,Valle,16.76
133,2025-05-13 00:00:00,Torre Atlantida,Madrid,Oficinas,12500,14.6,50.7,0.0,41,0,Apagado,26.88,0.0,Valle,2.34
1478,2025-01-05 08:00:00,Planta Logistica R2,Zaragoza,Industrial,26000,5.2,89.2,0.0,53,1,Calefaccion,147.09,0.0,Valle,14.89
33,2025-02-02 00:00:00,Torre Atlantida,Madrid,Oficinas,12500,1.2,73.9,0.0,0,0,Apagado,22.07,0.0,Valle,2.07
2123,2025-10-08 14:00:00,Residencial Mirador,Barcelona,Residencial,9800,23.2,69.8,632.2,75,1,Ventilacion,19.35,0.0,Llano,3.41
347,2025-12-11 14:00:00,Torre Atlantida,Madrid,Oficinas,12500,11.9,59.9,574.7,552,1,Calefaccion,111.35,85.81,Llano,4.35
273,2025-09-30 00:00:00,Torre Atlantida,Madrid,Oficinas,12500,14.2,61.2,0.0,0,0,Apagado,23.92,0.0,Valle,
726,2025-12-23 08:00:00,Campus Norte,Bilbao,Educativo,8600,7.1,87.8,0.0,7,0,Apagado,12.22,0.0,Llano,2.05
219,2025-08-05 14:00:00,Torre Atlantida,Madrid,Oficinas,12500,31.2,42.8,882.7,643,1,Refrigeracion,118.87,132.71,Llano,-0.9
1381,2025-10-04 00:00:00,Centro Comercial Delta,Valencia,Comercial,17400,18.0,74.1,0.0,112,0,Apagado,51.45,0.0,Valle,5.78
1752,2025-10-04 20:00:00,Planta Logistica R2,Zaragoza,Industrial,26000,14.1,75.8,0.0,74,1,Calefaccion,121.66,0.0,Valle,13.02
825,2025-03-30 00:00:00,Hospital Sur,Sevilla,Sanitario,21000,12.2,65.4,0.0,223,1,Calefaccion,188.3,0.0,Valle,
1153,2025-02-18 00:00:00,Centro Comercial Delta,Valencia,Comercial,17400,7.2,89.7,0.0,133,0,Apagado,54.08,0.0,Valle,4.88
900,2025-06-10 20:00:00,Hospital Sur,Sevilla,Sanitario,21000,26.5,63.3,86.4,421,1,Refrigeracion,320.63,17.53,Punta,67.02
1804,2025-11-25 20:00:00,Planta Logistica R2,Zaragoza,Industrial,26000,15.7,61.3,0.0,164,1,Ventilacion,246.36,0.0,Punta,64.13
822,2025-03-26 08:00:00,Hospital Sur,Sevilla,Sanitario,21000,13.6,78.9,137.3,410,1,Calefaccion,194.92,27.28,Llano,23.17
10,2025-01-09 08:00:00,Torre Atlantida,Madrid,Oficinas,12500,0.9,75.0,0.0,408,1,Calefaccion,111.87,0.0,Llano,18.15
1339,2025-08-21 14:00:00,Centro Comercial Delta,Valencia,Comercial,17400,31.1,66.5,850.0,1282,1,Refrigeracion,210.49,107.19,Llano,17.26
1930,2025-03-30 08:00:00,Residencial Mirador,Barcelona,Residencial,9800,14.9,,199.8,116,1,Ventilacion,25.57,0.0,Valle,2.18
1710,2025-08-25 08:00:00,Planta Logistica R2,Zaragoza,Industrial,26000,22.3,59.0,321.9,164,0,Apagado,146.03,83.98,Llano,10.24
943,2025-07-24 14:00:00,Hospital Sur,SEVILLA,Sanitario,21000,35.5,47.4,912.8,392,1,Refrigeracion,248.28,174.17,Llano,11.72
262,2025-09-18 08:00:00,Torre Atlantida,Madrid,Oficinas,12500,17.4,57.0,190.9,326,0,Apagado,67.92,31.27,Llano,6.19
31,2025-01-29 14:00:00,Torre Atlantida,Madrid,Oficinas,12500,10.7,76.6,456.0,580,1,Calefaccion,105.8,69.05,Llano,5.63
1151,2025-02-14 14:00:00,Centro Comercial Delta,Valencia,Comercial,17400,10.8,81.8,473.2,1370,1,Calefaccion,213.92,57.26,Llano,23.77
70,2025-03-10 08:00:00,Torre Atlantida,Madrid,Oficinas,12500,9.6,77.1,82.9,349,1,Calefaccion,101.96,12.62,Llano,12.61
324,2025-11-17 20:00:00,Torre Atlantida,Madrid,Oficinas,12500,11.6,71.1,0.0,72,1,Calefaccion,38.74,0.0,Punta,10.05
1022,2025-10-12 08:00:00,Hospital Sur,Sevilla,Sanitario,21000,16.6,56.3,111.3,402,0,Apagado,267.72,22.32,Valle,26.9
270,2025-09-26 08:00:00,Torre Atlantida,Madrid,Oficinas,12500,15.0,64.5,161.0,347,1,Ventilacion,68.94,24.76,Llano,7.7
694,2025-11-21 08:00:00,Campus Norte,Bilbao,Educativo,8600,13.0,85.6,0.0,,1,Calefaccion,115.1,0.0,Llano,20.63
2074,2025-08-21 08:00:00,Residencial Mirador,Barcelona,Residencial,9800,23.8,71.4,256.6,88,1,Ventilacion,19.91,0.0,Llano,3.42
218,2025-08-05 08:00:00,Torre Atlantida,Madrid,Oficinas,12500,22.4,51.6,301.5,308,0,Apagado,68.06,41.27,Llano,4.44
318,2025-11-13 08:00:00,Torre Atlantida,Madrid,Oficinas,12500,10.8,60.4,0.0,357,1,Calefaccion,91.88,0.0,Llano,15.89
993,2025-09-14 00:00:00,Hospital Sur,Sevilla,Sanitario,21000,21.5,68.6,0.0,261,no,Apagado,174.81,0.0,Valle,17.74
813,2025-03-18 00:00:00,Hospital Sur,Sevilla,Sanitario,21000,11.9,74.5,0.0,217,TRUE,Calefaccion,179.26,0.0,Valle,15.86
1940,2025-04-07 20:00:00,Residencial Mirador,Barcelona,Residencial,9800,16.4,91.7,0.0,306,0,Apagado,97.28,0.0,Punta,20.16
828,2025-03-30 20:00:00,Hospital Sur,Sevilla,Sanitario,21000,19.4,70.2,0.0,401,0,Apagado,283.25,0.0,Valle,24.22
833,2025-04-07 00:00:00,Hospital Sur,Sevilla,Sanitario,21000,10.6,70.2,0.0,-6,1,Calefaccion,183.5,0.0,Valle,16.0
526,2025-06-06 08:00:00,Campus Norte,Bilbao,Educativo,8600,16.7,76.5,419.1,735,0, APAGADO,78.95,29.55,Llano,7.41
1799,2025-11-21 14:00:00,Planta Logistica R2,Zaragoza,Industrial,26000,16.3,68.3,362.0,168,0,Apagado,156.86,102.17,Llano,9.64
2020,2025-06-26 20:00:00,Residencial Mirador,Barcelona,Residencial,9800,19.4,66.2,97.1,285,0,Apagado,91.34,0.0,Punta,20.87
1871,2025-01-29 14:00:00,Residencial Mirador,Barcelona,Residencial,9800,14.5,85.9,331.4,74,1,Ventilacion,19.49,0.0,Llano,2.99
1363,2025-09-14 14:00:00,Centro Comercial Delta,Valencia,Comercial,17400,23.6,68.5,817.8,1538,1,Ventilacion,247.49,105.01,Valle,15.54
2054,2025-08-01 08:00:00,Residencial Mirador,Barcelona,Residencial,9800,22.9,83.5,348.8,79,No,Apagado,21.13,0.0,Llano,3.4
1791,2025-11-13 14:00:00,Planta Logistica R2,Zaragoza,Industrial,26000,17.6,68.5,507.6,150,0,Apagado,151.45,131.2,Llano,3.58
1314,2025-07-28 08:00:00,Centro Comercial Delta,Valencia ,Comercial,17400,25.1,50.0,427.0,93,0,Apagado,38.04,54.56,Llano,-1.06
317,2025-11-13 00:00:00,Torre Atlantida,Madrid,Oficinas,12500,3.8,76.3,0.0,0,0,Apagado,22.84,0.0,Valle,2.51
2188,2025-12-11 20:00:00,Residencial Mirador,Barcelona,Residencial,9800,12.5,83.4,0.0,301,1,Calefaccion,95.46,0.0,Punta,25.63
1884,2025-02-10 20:00:00,Residencial Mirador,Barcelona,Residencial,9800,11.1,69.0,0.0,300,1,Calefaccion,101.43,0.0,Punta,23.47
973,2025-08-25 00:00:00,Hospital Sur,Sevilla,Sanitario,21000,22.8,52.5,0.0,214,0, APAGADO,172.3,0.0,Valle,18.26
334,2025-11-29 08:00:00,Torre Atlantida,Madrid,Oficinas,12500,2.0,81.6,0.0,0,0,Apagado,23.06,0.0,Valle,2.37
91,2025-03-30 14:00:00,Torre Atlantida,Madrid,Oficinas,12500,17.8,54.0,512.9,5,0,Apagado,16.79,82.2,Valle,-2.25
114,2025-04-23 08:00:00,Torre Atlantida,Madrid,Oficinas,12500,16.9,50.5,268.1,304,0,Apagado,67.57,39.39,Llano,3.97
1895,2025-02-22 14:00:00,Residencial Mirador,Barcelona,Residencial,9800,,90.3,320.1,138,1,Ventilacion,27.65,0.0,Valle,2.56
1472,2025-12-31 20:00:00,Centro Comercial Delta,Valencia,Comercial,17400,12.6,70.5,0.0,1376,1,Calefaccion,285.53,0.0,Punta,72.24
1564,2025-03-30 20:00:00,Planta Logistica R2,Zaragoza,Industrial,26000,,,0.0,73,1,Calefaccion,136.4,0.0,Valle,11.77
2003,2025-06-10 14:00:00,Residencial Mirador,Barcelona,Residencial,9800,25.8,,647.6,82,1,Refrigeracion,24.39,0.0,Llano,3.52
1862,2025-01-21 08:00:00,Residencial Mirador,Barcelona,Residencial,9800,8.4,81.0,0.0,97,1,Calefaccion,39.27,0.0,Llano,5.99
671,2025-10-28 14:00:00,Campus Norte,Bilbao,Educativo,8600,17.1,76.2,448.5,866,0,Apagado,86.62,35.65,Llano,8.83
2087,2025-09-02 14:00:00,Residencial Mirador,Barcelona,Residencial,9800,23.7,68.2,766.2,55,1,Ventilacion,17.05,0.0,Llano,2.89
312,2025-11-05 20:00:00,Torre Atlantida,Madrid,Oficinas,12500,14.7,72.0,0.0,92,TRUE,Ventilacion,39.85,0.0,Punta,10.51
1638,2025-06-14 08:00:00,Planta Logistica R2,Zaragoza,Industrial,26000,-999.0,55.8,423.9,65,0,Apagado,82.22,111.11,Valle,-1.04
2154,2025-11-09 08:00:00,Residencial Mirador,barcelona,Residencial,9800,13.4,121.8,0.0,89,1,Calefaccion,41.1,0.0,Valle,4.48
698,2025-11-25 08:00:00,Campus Norte,Bilbao,Educativo,8600,,99.0,0.0,767,1,Calefaccion,124.8,0.0,Llano,21.55
109,2025-04-19 00:00:00,Torre Atlantida,Madrid,Oficinas,12500,11.6,64.4,0.0,-12,0,Apagado,23.23,0.0,Valle,2.03
1693,2025-08-09 00:00:00,Planta Logistica R2,Zaragoza,Industrial,26000,24.0,53.7,0.0,16,1,Ventilacion,70.98,0.0,Valle,7.27
560,2025-07-08 20:00:00,Campus Norte, Bilbao ,Educativo,8600,23.4,57.7,86.8,10,0,Apagado,12.42,6.6,Punta,1.42
2189,2025-12-15 00:00:00,Residencial Mirador,Barcelona,Residencial,9800,6.7,80.3,0.0,299,1,Calefaccion,102.15,0.0,Valle,10.75
2173,2025-11-29 00:00:00,Residencial Mirador,Barcelona,Residencial,9800,7.1,89.5,0.0,309,1,Calefaccion,105.91,0.0,Valle,11.44
1079,2025-12-07 14:00:00,Hospital Sur,Sevilla,Sanitario,21000,15.3,77.9,516.8,373,1,Ventilacion,198.89,106.18,Valle,9.62
1861,2025-01-21 00:00:00,Residencial Mirador,Barcelona,Residencial,9800,8.8,92.9,0.0,309,1,Calefaccion,96.11,0.0,Valle,9.59
742,2025-01-05 08:00:00,Hospital Sur,Sevilla,Sanitario,21000,7.3,83.2,0.0,404,1,Calefaccion,286.25,0.0,Valle,28.8
1747,2025-09-30 14:00:00,Planta Logistica R2,Zaragoza,Industrial,26000,,65.5,650.2,168,1,Refrigeracion,,173.43,Llano,-1.25
779,2025-02-10 14:00:00,Hospital Sur,Sevilla,Sanitario,21000,17.0,64.6,408.9,396,0,Apagado,211.8,82.21,Llano,19.4
1976,2025-05-13 20:00:00,Residencial Mirador,Barcelona,Residencial,9800,20.2,64.9,25.8,308,0,Apagado,90.71,0.0,Punta,19.12
1239,2025-05-13 14:00:00,Centro Comercial Delta,Valencia,Comercial,17400,26.1,65.9,826.2,1399,1,Refrigeracion,215.66,94.42,Llano,17.25
465,2025-04-07 00:00:00,Campus Norte,Bilbao,Educativo,8600,14.6,99.0,0.0,52,1,Ventilacion,22.25,0.0,Valle,1.84
1765,2025-10-20 00:00:00,Planta Logistica R2,Zaragoza,Industrial,26000,8.9,75.4,0.0,54,1,Calefaccion,128.71,0.0,Valle,14.09
142,2025-05-21 08:00:00,Torre Atlantida,Madrid ,Oficinas,12500,20.3,55.6,355.9,351,0,Apagado,64.1,53.73,Llano,1.42
1446,2025-12-07 08:00:00,Centro Comercial Delta,Valencia,Comercial,17400,9.8,78.9,0.0,139,1,Calefaccion,64.75,0.0,Valle,6.9
